title,genre,description,language,duration,episodes,rating,cast,keywords,source,poster_url,combined_features
the shawshank redemption,drama,two imprisoned men bond over a number of years finding solace and eventual redemption through acts of common decency,english,142.0,1,9.3,tim robbins morgan freeman bob gunton william sadler,drama,imdb,"https://m.media-amazon.com/images/M/MV5BMDFkYTc0MGEtZmNhMC00ZDIzLWFmNTEtODM1ZmRlYWMwMWFmXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX67_CR0,0,67,98_AL_.jpg",drama english 142.0 1 drama two imprisoned men bond over a number of years finding solace and eventual redemption through acts of common decency tim robbins morgan freeman bob gunton william sadler
the godfather,crime drama,an organized crime dynasty s aging patriarch transfers control of his clandestine empire to his reluctant son,english,175.0,1,9.2,marlon brando al pacino james caan diane keaton,crime drama,imdb,"https://m.media-amazon.com/images/M/MV5BM2MyNjYxNmUtYTAwNi00MTYxLWJmNWYtYzZlODY3ZTk3OTFlXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UY98_CR1,0,67,98_AL_.jpg",crime drama english 175.0 1 crime drama an organized crime dynasty s aging patriarch transfers control of his clandestine empire to his reluctant son marlon brando al pacino james caan diane keaton
the dark knight,action crime drama,when the menace known as the joker wreaks havoc and chaos on the people of gotham batman must accept one of the greatest psychological and physical tests of his ability to fight injustice,english,152.0,1,9.0,christian bale heath ledger aaron eckhart michael caine,action crime drama,imdb,"https://m.media-amazon.com/images/M/MV5BMTMxNTMwODM0NF5BMl5BanBnXkFtZTcwODAyMTk2Mw@@._V1_UX67_CR0,0,67,98_AL_.jpg",action crime drama english 152.0 1 action crime drama when the menace known as the joker wreaks havoc and chaos on the people of gotham batman must accept one of the greatest psychological and physical tests of his ability to fight injustice christian bale heath ledger aaron eckhart michael caine
the godfather part ii,crime drama,the early life and career of vito corleone in 1920s new york city is portrayed while his son michael expands and tightens his grip on the family crime syndicate,english,202.0,1,9.0,al pacino robert de niro robert duvall diane keaton,crime drama,imdb,"https://m.media-amazon.com/images/M/MV5BMWMwMGQzZTItY2JlNC00OWZiLWIyMDctNDk2ZDQ2YjRjMWQ0XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UY98_CR1,0,67,98_AL_.jpg",crime drama english 202.0 1 crime drama the early life and career of vito corleone in 1920s new york city is portrayed while his son michael expands and tightens his grip on the family crime syndicate al pacino robert de niro robert duvall diane keaton
12 angry men,crime drama,a jury holdout attempts to prevent a miscarriage of justice by forcing his colleagues to reconsider the evidence,english,96.0,1,9.0,henry fonda lee j cobb martin balsam john fiedler,crime drama,imdb,"https://m.media-amazon.com/images/M/MV5BMWU4N2FjNzYtNTVkNC00NzQ0LTg0MjAtYTJlMjFhNGUxZDFmXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UX67_CR0,0,67,98_AL_.jpg",crime drama english 96.0 1 crime drama a jury holdout attempts to prevent a miscarriage of justice by forcing his colleagues to reconsider the evidence henry fonda lee j cobb martin balsam john fiedler
the lord of the rings the return of the king,action adventure drama,gandalf and aragorn lead the world of men against sauron s army to draw his gaze from frodo and sam as they approach mount doom with the one ring,english,201.0,1,8.9,elijah wood viggo mortensen ian mckellen orlando bloom,action adventure drama,imdb,"https://m.media-amazon.com/images/M/MV5BNzA5ZDNlZWMtM2NhNS00NDJjLTk4NDItYTRmY2EwMWZlMTY3XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX67_CR0,0,67,98_AL_.jpg",action adventure drama english 201.0 1 action adventure drama gandalf and aragorn lead the world of men against sauron s army to draw his gaze from frodo and sam as they approach mount doom with the one ring elijah wood viggo mortensen ian mckellen orlando bloom
pulp fiction,crime drama,the lives of two mob hitmen a boxer a gangster and his wife and a pair of diner bandits intertwine in four tales of violence and redemption,english,154.0,1,8.9,john travolta uma thurman samuel l jackson bruce willis,crime drama,imdb,"https://m.media-amazon.com/images/M/MV5BNGNhMDIzZTUtNTBlZi00MTRlLWFjM2ItYzViMjE3YzI5MjljXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UY98_CR0,0,67,98_AL_.jpg",crime drama english 154.0 1 crime drama the lives of two mob hitmen a boxer a gangster and his wife and a pair of diner bandits intertwine in four tales of violence and redemption john travolta uma thurman samuel l jackson bruce willis
schindler s list,biography drama history,in german occupied poland during world war ii industrialist oskar schindler gradually becomes concerned for his jewish workforce after witnessing their persecution by the nazis,english,195.0,1,8.9,liam neeson ralph fiennes ben kingsley caroline goodall,biography drama history,imdb,"https://m.media-amazon.com/images/M/MV5BNDE4OTMxMTctNmRhYy00NWE2LTg3YzItYTk3M2UwOTU5Njg4XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX67_CR0,0,67,98_AL_.jpg",biography drama history english 195.0 1 biography drama history in german occupied poland during world war ii industrialist oskar schindler gradually becomes concerned for his jewish workforce after witnessing their persecution by the nazis liam neeson ralph fiennes ben kingsley caroline goodall
inception,action adventure sci fi,a thief who steals corporate secrets through the use of dream sharing technology is given the inverse task of planting an idea into the mind of a c e o,english,148.0,1,8.8,leonardo dicaprio joseph gordon levitt elliot page ken watanabe,action adventure sci fi,imdb,"https://m.media-amazon.com/images/M/MV5BMjAxMzY3NjcxNF5BMl5BanBnXkFtZTcwNTI5OTM0Mw@@._V1_UX67_CR0,0,67,98_AL_.jpg",action adventure sci fi english 148.0 1 action adventure sci fi a thief who steals corporate secrets through the use of dream sharing technology is given the inverse task of planting an idea into the mind of a c e o leonardo dicaprio joseph gordon levitt elliot page ken watanabe
fight club,drama,an insomniac office worker and a devil may care soapmaker form an underground fight club that evolves into something much much more,english,139.0,1,8.8,brad pitt edward norton meat loaf zach grenier,drama,imdb,"https://m.media-amazon.com/images/M/MV5BMmEzNTkxYjQtZTc0MC00YTVjLTg5ZTEtZWMwOWVlYzY0NWIwXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX67_CR0,0,67,98_AL_.jpg",drama english 139.0 1 drama an insomniac office worker and a devil may care soapmaker form an underground fight club that evolves into something much much more brad pitt edward norton meat loaf zach grenier
